Lake,Site ID,EPA Sample ID,Species,PCBs,Other Halo Organics (monitored),HaloMeOPs,Other Halo Organics UM,PCBs Targeted,Analyte_Original,Analyte_Averagred_ID,Concentration,Mass,Formula,Analyte_ID,Feeding,
Lake_Erie,GLNS15-2150,775094,Freshwater drum,404,178,15462,78,427.98,IL-1.203-0.833-X,IL-1.200-0.978-X,75.74,280.0505,C14H13ClO4,X-1.20-280.050,P,
Lake_Erie,GLNS15-1165,775114,Freshwater drum,536,88,12645,131,576.77,IL-0.704-0.841-X,IL-0.704-0.955-X,29.59,172.0287,C8H9ClO2,X-0.70-172.029,P,
Lake_Erie,GLNS15-1165,775114,Freshwater drum,536,88,12645,131,576.77,IL-1.220-0.856-X,IL-1.217-0.995-X,41.51,280.0492,C14H13ClO4,X-1.22-280.050,P,
Lake_Erie,GLNS15-1165,775114,Freshwater drum,536,88,12645,131,576.77,IL-1.203-0.841-X,IL-1.200-0.978-X,53.54,280.0496,C14H13ClO4,X-1.20-280.050,P,
Lake_Erie,GLNS15-1159,775174,Yellow perch,0,0,5406,2,19.43,IL-0.704-0.822-X,IL-0.704-0.955-X,1.5,172.0307,C8H9ClO2,X-0.70-172.029,P,
Lake_Erie,GLNS15-1157,775214,White bass,242,87,5497,14,184.65,IL-0.645-1.037-X,IL-0.643-1.072-X,2,172.0272,C8H9ClO2,X-0.65-172.029,P,
Lake_Erie,GLNS15-1157,775214,White bass,242,87,5497,14,184.65,IL-1.204-0.989-X,IL-1.200-0.978-X,2,280.0503,C14H13ClO4,X-1.20-280.050,P,
Lake_Erie,GLNS15-1157,775214,White bass,242,87,5497,14,184.65,IL-0.696-1.256-X,IL-0.699-1.290-X,2,341.787,C7H5Br3O,X-0.70-341.788,P,
Lake_Erie,GLNS15-2140,775234,Yellow perch,85,33,12197,4,14.86,IL-0.646-0.889-X,IL-0.643-1.072-X,1.23,172.029,C8H9ClO2,X-0.65-172.029,P,
Lake_Erie,GLNS15-2140,775234,Yellow perch,85,33,12197,4,14.86,IL-0.704-0.837-X,IL-0.704-0.955-X,4.25,172.0292,C8H9ClO2,X-0.70-172.029,P,
Lake_Erie,GLNS15-2140,775234,Yellow perch,85,33,12197,4,14.86,IL-1.203-0.851-X,IL-1.200-0.978-X,13.59,280.0512,C14H13ClO4,X-1.20-280.050,P,
Lake_Ontario,GLNS15-2193,775454,Brown trout,1739,802,4511,262,870.59,IL-0.702-0.973-X,IL-0.704-0.955-X,2.33,172.0288,C8H9ClO2,X-0.70-172.029,P,
Lake_Ontario,GLNS15-2193,775454,Brown trout,1739,802,4511,262,870.59,IL-0.634-1.284-X,IL-0.632-1.265-X,9.61,185.0365,C9H10ClO2,X-0.63-185.037,P,
Lake_Ontario,GLNS15-2193,775454,Brown trout,1739,802,4511,262,870.59,IL-0.542-1.241-X,IL-0.543-1.239-X,1.71,186.0443,C9H11ClO2,X-0.54-186.044,P,
Lake_Ontario,GLNS15-2193,775454,Brown trout,1739,802,4511,262,870.59,IL-0.623-1.052-X,IL-0.624-1.057-X,1.71,188.0598,C9H13ClO2,X-0.62-188.060,P,
Lake_Ontario,GLNS15-2193,775454,Brown trout,1739,802,4511,262,870.59,IL-0.864-1.025-X,IL-0.862-1.026-X,0.65,190.0296,C10H7ClN2,X-0.86-190.030,P,
Lake_Ontario,GLNS15-2193,775454,Brown trout,1739,802,4511,262,870.59,IL-0.464-1.523-X,IL-0.460-1.525-X,1.32,214.1122,C12H19ClO,X-0.46-214.112,P,
Lake_Ontario,GLNS15-2193,775454,Brown trout,1739,802,4511,262,870.59,IL-0.706-1.099-X,IL-0.709-1.096-X,3.06,216.0913,C11H17ClO2,X-0.71-216.091,P,
